,date,is_belong_us,name,nr,patnr,refnr
0,April 2008,Y,Bange,nr7,7359753,1
1,June 2015,Y,Ding,nr7,9055513,2
2,February 2017,Y,Park,nr7,9572007,3
3,February 2011,Y,Gong et al.,nr7,2011/0038290,4
4,October 2014,Y,Abraham et al.,nr7,2014/0301295,5
5,October 2014,Y,Shukla,nr7,2014/0313966,6
6,July 2015,Y,Kasslin et al.,nr7,2015/0200811,7
7,November 2015,Y,Park et al.,nr7,2015/0319675,8
8,December 2015,Y,Park et al.,nr7,2015/0358800,9
9,January 2016,Y,Segev et al.,nr7,2016/0014565,10
10,April 2017,Y,Park,nr7,2017/0111782,11
11,April 2017,Y,Park et al.,nr7,2017/0111862,12
0,September 2011,Y,Heinze et al.,nr5,8026814,1
1,May 2016,Y,Lee,nr5,9332477,2
2,March 2009,Y,Geissler et al.,nr5,2009/0058653,3
3,April 2015,Y,Cohen,nr5,2015/0119076,4
4,December 2015,Y,Daoura et al.,nr5,2015/0356858,5
5,February 2018,Y,Afzal,nr5,2018/0038937,6
0,July 2017,Y,Chu et al.,nr4,9699741,1
1,July 2007,Y,Kim,nr4,2007/0155365,2
2,November 2011,Y,Abraham,nr4,2011/0268054,3
3,January 2013,Y,Kang et al.,nr4,2013/0010664,4
4,May 2014,Y,Zhu,nr4,2014/0119288,5
5,March 2015,Y,Merlin et al.,nr4,2015/0063111,6
6,May 2015,Y,Chu,nr4,2015/0146654,7
7,August 2015,Y,Park et al.,nr4,2015/0237654,8
8,June 2016,Y,Kim et al.,nr4,2016/0165637,9
9,July 2017,Y,Zhou et al.,nr4,2017/0202023,10
10,Dec 2015,N,WO,nr4,WO-2015194727,1001
0,October 2010,Y,Ulupinar,nr3,2010/0260109,1
1,May 2012,Y,Hiramatsu,nr3,2012/0110100,2
2,May 2013,Y,Tachibana,nr3,2013/0124737,3
3,August 2014,Y,Tokunaga,nr3,2014/0226530,4
4,Jan 2015,N,JP,nr3,2015-002426,1001
0,July 2007,Y,Kumar et al.,nr2,2007/0169171,1
1,September 2008,Y,Huang,nr2,2008/0232376,2
0,August 2008,Y,Moe et al.,nr11,2008/0207207,1
1,July 2009,Y,Chapin,nr11,2009/0170472,2
2,December 2010,Y,Gerstenberger et al.,nr11,2010/0317351,3
3,January 2011,Y,Horneman,nr11,2011/0021205,4
4,November 2011,Y,Zhang et al.,nr11,2011/0274097,5
5,January 2014,Y,Smith,nr11,2014/0016583,6
6,October 2015,Y,Ghasemzadeh,nr11,2015/0281974,7
7,November 2015,Y,Kim,nr11,2015/0341839,8
8,March 2016,Y,Yu,nr11,2016/0094999,9
9,April 2016,Y,Ahmavaara et al.,nr11,2016/0100331,10
10,Jul 2009,N,WO,nr11,WO-2009088332,1001
11,Aug 2016,N,WO,nr11,WO-2016123568,1002
0,May 1999,Y,Neher,nr13,5905461,1
1,May 2001,Y,Dabbiere,nr13,6226622,2
2,October 2001,Y,Schafer,nr13,6300875,3
3,March 2002,Y,Hamrick et al.,nr13,6356841,4
4,May 2002,Y,Neher,nr13,6388612,5
5,April 2004,Y,Edwards,nr13,6720879,6
6,November 2004,Y,Durga et al.,nr13,6813498,7
7,October 2005,Y,Raverdy et al.,nr13,6957217,8
8,August 2006,Y,Engstrom et al.,nr13,7099921,9
9,April 2007,Y,Wilson et al.,nr13,7203502,10
10,August 2007,Y,Joao,nr13,7253731,11
11,August 2007,Y,Casey,nr13,7259668,12
12,May 2008,Y,Bostrom et al.,nr13,7379743,13
13,February 2009,Y,Katz,nr13,7492251,14
14,June 2009,Y,Loomis et al.,nr13,7551126,15
15,October 2009,Y,Hokuf et al.,nr13,7602302,16
16,June 2010,Y,Scalisi et al.,nr13,7728724,17
17,November 2010,Y,Boling et al.,nr13,7830305,18
18,August 2011,Y,Chou,nr13,7990264,19
19,October 2011,Y,Pfafman et al.,nr13,8035510,20
20,December 2011,Y,Gupta et al.,nr13,8073467,21
21,October 2012,Y,Forstall et al.,nr13,8290513,22
22,October 2012,Y,Thomas,nr13,8301158,23
23,November 2012,Y,Adair,nr13,8315905,24
24,January 2013,Y,Lohtia et al.,nr13,8364170,25
25,May 2013,Y,Ramachandran,nr13,8442807,26
26,May 2013,Y,Raduchel,nr13,8446272,27
27,May 2013,Y,Anakata et al.,nr13,8447325,28
28,August 2013,Y,Cameron,nr13,8514058,29
29,September 2013,Y,Slavin et al.,nr13,8531294,30
